"Name","Aura","CL","Slot","Price","Weight","Description","Requirements","Cost","Group","Source","AL","Int","Wis","Cha","Ego","Communication","Senses","Powers","MagicItems","Destruction","MinorArtifactFlag","MajorArtifactFlag","Abjuration","Conjuration","Divination","Enchantment","Evocation","Necromancy","Transmutation","AuraStrength","WeightValue","PriceValue","CostValue","Languages","BaseItem","LinkText","id"
"Bracers of Defenselessness","strong conjuration",16,"arms",,"1 lb.","These bejeweled and shining bracers initially appear to be bracers of armor +5 and actually serve as such until the wearer is attacked in anger by an enemy with a Challenge Rating equal to or greater than her level. At that moment and thereafter, the bracers cause a -5 penalty to AC. Once their curse is activated, bracers of defenselessness can be removed only by means of a remove curse spell.",,,"Cursed","PFRPG Core",,,,,,,,,"bracers of armor +5",,0,0,0,1,0,0,0,0,0,"strong",1,0,0,,,"Bracers of Defenselessness",282
"Broom of Animated Attack","moderate transmutation",10,"none",,"3 lbs.","This item is indistinguishable in appearance from a normal broom. It is identical to a broom of flying by all tests short of attempted use. If a creature attempts to fly using the broom, the broom does a loop-the-loop with its hopeful rider, dumping him on his head from 1d4+5 feet off the ground (no falling damage, since the fall is less than 10 feet). The broom then attacks the victim, swatting the victim's face with the straw or twig end and beating him with the handle end. The broom gets two attacks per round with each end (two swats with the straw and two with the handle, for a total of four attacks per round). It attacks with a +5 bonus on each attack roll. The straw end causes a victim to be blinded for 1 round when it hits. The handle deals 1d6 points of damage when it hits. The broom has AC 13, CMD 17, 18 hit points, and hardness 4.",,,"Cursed","PFRPG Core",,,,,,,,,"broom of flying",,0,0,0,0,0,0,0,0,1,"moderate",3,0,0,,,"Broom of Animated Attack",283
"clear spindle ioun stone","strong varied",12,"none","4,000 gp",0,"These crystalline stones always float in the air and must be within 3 feet of their owner to be of any use. When a character first acquires a stone, she must hold it and then release it, whereupon it takes up a circling orbit 1d3 feet from her head. Thereafter, a stone must be grasped or netted to separate it from its owner. The owner may voluntarily seize and stow a stone (to keep it safe while she is sleeping, for example), but she loses the benefits of the stone during that time. Ioun stones have AC 24, 10 hit points, and hardness 5. Sustains creature without food or water.","Craft Wondrous Item, creator must be 12th level","2,000 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,0,"strong",0,4000,2000,,,"Ioun Stone; clear spindle",424
"Codex of the Infinite Planes","overwhelming transmutation",30,"none",,"300 lbs.","The Codex is enormous-supposedly, it requires two strong men to lift it. No matter how many pages are turned, another always remains. Anyone opening the Codex for the first time is utterly annihilated, as with a destruction spell (Fortitude DC 30). Those who survive can peruse its pages and learn its powers, though not without risk. Each day spent studying the Codex allows the reader to make a Spellcraft check (DC 50) to learn one of its powers (choose the power learned randomly; add a +1 circumstance bonus on the check per additional day spent reading until a power is learned). However, each day of study also forces the reader to make a Will save (DC 30 + 1 per day of study) to avoid being driven insane (as the insanity spell). The powers of the are as follows: astral projection, banishment, elemental swarm, gate, greater planar ally, greater planar binding, plane shift, and soul bind. Each of these spell-like abilities are usable at will by the owner of the Codex (assuming that he or she has learned how to access the power). The has a caster level of 30th for the purposes of all powers and catastrophes, and all saving throw DCs are 20 + spell level. Activating any power requires a Spellcraft check (DC 40 + twice the spell level of the power; the character can't take 10 on this check). Any failure on either check indicates that a catastrophe befalls the user (roll on the table below for the effect). A character can only incur one catastrophe per power use. d% Catastrophe 01-25 Natural Fury: An earthquake spell centered on the reader strikes every round for 1 minute, and an intensified storm of vengeance spell is centered and targeted on the reader. 26-50 Fiendish Vengeance: A gate opens and 1d3+1 balors, pit fiends, or similar evil outsiders step through and attempt to destroy the owner of the Codex. 51-75 Ultimate Imprisonment: Reader's soul is captured (as trap the soul; no save allowed) in a random gem somewhere on the plane while his or her body is entombed beneath the earth (as imprisonment). 76-100 Death: The reader utters a wail of the banshee and then is subject to a destruction spell. This repeats every round for 10 rounds until the reader is dead.",,,"Artifact","PFRPG Core",,,,,,,,,,"The is destroyed if one page is torn out and left on each plane in existence. Note that tearing out a page immediately triggers a catastrophe.",0,1,0,0,0,0,0,0,1,"none",300,0,0,,,"NULL",1029
"Crystal Ball standard","moderate divination",10,"none","42,000 gp","7 lbs.","This is the most common form of scrying device, a crystal sphere about 6 inches in diameter. So well-known are these items that many so-called oracles or fortune-tellers use similar appearing (but completely non-magical) replicas of these items to ply their trades. A character can use a magical crystal ball to see over virtually any distance or into other planes of existence, as with the spell scrying (Will DC 16 negates). A crystal ball can be used multiple times per day, but the DC to resist its power decreases by 1 for each additional use. Certain crystal balls have additional powers that can be used through the crystal ball on the target viewed.","Craft Wondrous Item, scrying (plus any additional spells put into item)","21,000 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,1,0,0,0,0,"moderate",7,42000,21000,,,"Crystal Ball standard",535
"Crystal Hypnosis Ball","strong divination",17,"none",,"7 lbs.","This cursed scrying device is indistinguishable, at first glance, from a normal crystal ball. However, anyone attempting to use the scrying device becomes fascinated for 1d6 minutes, and a telepathic suggestion is implanted in his mind (Will DC 19 negates). The user of the device believes that the desired creature or scene was viewed, but actually he came under the influence of a powerful wizard, lich, or even some power or being from another plane. Each further use brings the crystal hypnosis ball gazer deeper under the influence of the controller, either as a servant or a tool. Note that throughout this time, the user remains unaware of his subjugation.",,,"Cursed","PFRPG Core",,,,,,,,,"crystal ball",,0,0,0,0,1,0,0,0,0,"strong",7,0,0,,,"Crystal Hypnosis Ball",284
"Dagger of Venom","faint necromancy",5,"none","8,302 gp","1 lb.","This black +1 dagger has a serrated edge. It allows the wielder to use a poison effect (as the spell, save DC 14) upon a creature struck by the blade once per day. The wielder can decide to use the power after he has struck. Doing so is a free action, but the poison effect must be invoked in the same round that the dagger strikes.","Craft Magic Arms and Armor, poison","4,302 gp","Weapon","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,1,0,"faint",1,8302,4302,,"+1 dagger","Dagger of Venom",13
"dark blue rhomboid ioun stone","strong varied",12,"none","10,000 gp",0,"These crystalline stones always float in the air and must be within 3 feet of their owner to be of any use. When a character first acquires a stone, she must hold it and then release it, whereupon it takes up a circling orbit 1d3 feet from her head. Thereafter, a stone must be grasped or netted to separate it from its owner. The owner may voluntarily seize and stow a stone (to keep it safe while she is sleeping, for example), but she loses the benefits of the stone during that time. Ioun stones have AC 24, 10 hit points, and hardness 5. Alertness (as the feat).","Craft Wondrous Item, creator must be 12th level","5,000 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,0,"strong",0,10000,5000,,,"Ioun Stone; dark blue rhomboid",432
"Darkwood Buckler","no aura (nonmagical)",0,"shield","205 gp","2.5 lbs.","This nonmagical light wooden shield is made out of darkwood. It has no enhancement bonus, but its construction material makes it lighter than a normal wooden shield. It has no armor check penalty.",,,"Armor","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,0,"none",2.5,205,0,,,"Darkwood Buckler",310
"Darkwood Shield","no aura (nonmagical)",0,"shield","257 gp","5 lbs.","This nonmagical heavy wooden shield is made out of darkwood. It has no enhancement bonus, but its construction material makes it lighter than a normal wooden shield. It has no armor check penalty.",,,"Armor","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,0,"none",5,257,0,,,"Darkwood Shield",311
"Deck of Many Things","strong (all schools)",20,"none",,0,"A deck of many things (both beneficial and malign) is usually found in a box or leather pouch. Each deck contains a number of cards or plaques made of ivory or vellum. Each is engraved with glyphs, characters, and sigils. As soon as one of these cards is drawn from the pack, its magic is bestowed upon the person who drew it, for better or worse. The character with a deck of many things who wishes to draw a card must announce how many cards she will draw before she begins. Cards must be drawn within 1 hour of each other, and a character can never draw from this deck any more cards than she has announced. If the character does not willingly draw her allotted number (or if she is somehow prevented from doing so), the cards flip out of the deck on their own. If the Idiot or Jester is drawn, the possessor of the deck may elect to draw additional cards. Each time a card is taken from the deck, it is replaced (making it possible to draw the same card twice) unless the draw is the Jester or the Fool, in which case the card is discarded from the pack. A deck of many things contains 22 cards. To simulate the magic cards, you may want to use tarot cards, as indicated in the second column of the accompanying table. If no tarot deck is available, substitute ordinary playing cards instead, as indicated in the third column. The effects of each card, summarized on the table, are fully described below. Balance: The character must change to a radically different alignment. If the character fails to act according to the new alignment, she gains a negative level. Comet: The character must single-handedly defeat the next hostile monster or monsters encountered, or the benefit is lost. If successful, the character gains enough XP to attain the next experience level. Donjon: This card signifies imprisonment-either by the imprisonment spell or by some powerful being. All gear and spells are stripped from the victim in any case. Draw no more cards. Euryale: The medusa-like visage of this card brings a curse that only the Fates card or a deity can remove. The -1 penalty on all saving throws is otherwise permanent. The Fates: This card enables the character to avoid even an instantaneous occurrence if so desired, for the fabric of reality is unraveled and respun. Note that it does not enable something to happen. It can only stop something from happening or reverse a past occurrence. The reversal is only for the character who drew the card; other party members may have to endure the situation. Flames: Hot anger, jealousy, and envy are but a few of the possible motivational forces for the enmity. The enmity of the outsider can't be ended until one of the parties has been slain. Determine the outsider randomly, and assume that it attacks the character (or plagues her life in some way) within 1d20 days. Fool: The payment of XP and the redraw are mandatory. This card is always discarded when drawn, unlike all others except the Jester. Gem: This card indicates wealth. The jewelry is all gold set with gems, each piece worth 2,000 gp, and the gems are worth 1,000 gp each. Idiot: This card causes the drain of 1d4+1 points of Intelligence immediately. The additional draw is optional. Jester: This card is always discarded when drawn, unlike all others except the Fool. The redraws are optional. Key: The magic weapon granted must be one usable by the character. It suddenly appears out of nowhere in the character's hand. Knight: The fighter appears out of nowhere and serves loyally until death. He or she is of the same race (or kind) and gender as the character. This fighter can be taken as a cohort by a character with the Leadership feat. Moon: This card bears the image of a moonstone gem with the appropriate number of wishes shown as gleams therein; sometimes it depicts a moon with its phase indicating the number of wishes (full = four; gibbous = three; half = two; quarter = one). These wishes are the same as those granted by the 9th-level wizard spell and must be used within a number of minutes equal to the number received. Rogue: When this card is drawn, one of the character's NPC friends (preferably a cohort) is totally alienated and made forever hostile. If the character has no cohorts, the enmity of some powerful personage (or community, or religious order) can be substituted. The hatred is secret until the time is ripe for it to be revealed with devastating effect. Ruin: As implied by its name, when this card is drawn, all nonmagical possessions of the drawer are lost. Skull: A dread wraith appears. The character must fight it alone- if others help, they get dread wraiths to fight as well. If the character is slain, she is slain forever and cannot be revived, even with a wish or a miracle. Star: The 2 points are added to any ability the character chooses. They cannot be divided among two abilities. Sun: Roll for a medium wondrous item until a useful item is indicated. Talons: When this card is drawn, every magic item owned or possessed by the character is instantly and irrevocably lost, except for the deck. Throne: The character becomes a true leader in people's eyes. The castle gained appears in any open area she wishes (but the decision where to place it must be made within 1 hour). Vizier: This card empowers the character drawing it with the one-time ability to call upon a source of wisdom to solve any single problem or answer fully any question upon her request. The query or request must be made within 1 year. Whether the information gained can be successfully acted upon is another matter entirely. The Void: This black card spells instant disaster. The character's body continues to function, as though comatose, but her psyche is trapped in a prison somewhere-in an object on a far plane or planet, possibly in the possession of an outsider. A wish or a miracle does not bring the character back, instead merely revealing the plane of entrapment. Draw no more cards.",,,"Artifact","PFRPG Core",,,,,,,,,,"The deck of many things can be destroyed by losing it in a wager with a deity of law. The deity must be unaware of the nature of the deck.",1,0,0,0,0,0,0,0,0,"strong",0,0,0,,,"NULL",1022
"deep red sphere ioun stone","strong varied",12,"none","8,000 gp",0,"These crystalline stones always float in the air and must be within 3 feet of their owner to be of any use. When a character first acquires a stone, she must hold it and then release it, whereupon it takes up a circling orbit 1d3 feet from her head. Thereafter, a stone must be grasped or netted to separate it from its owner. The owner may voluntarily seize and stow a stone (to keep it safe while she is sleeping, for example), but she loses the benefits of the stone during that time. Ioun stones have AC 24, 10 hit points, and hardness 5. +2 enchantment bonus to Dexterity.","Craft Wondrous Item, creator must be 12th level","4,000 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,0,"strong",0,8000,4000,,,"Ioun Stone; deep red sphere",426
"Dragonhide Plate","no aura (nonmagical)",0,"armor","3,300 gp","50 lbs.","This suit of full plate is made of dragonhide, rather than metal, so druids can wear it. It is otherwise identical to masterwork full plate.",,,"Armor","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,0,"none",50,3300,0,,,"Dragonhide Plate",307
"Dust of Sneezing and Choking","moderate conjuration",7,"none",,0,"This fine dust appears to be dust of appearance. If cast into the air, it causes those within a 20-foot spread to fall into fits of sneezing and coughing. Those failing a DC 15 Fortitude save take 3d6 points of Constitution damage immediately. Those who succeed on this saving throw are nonetheless disabled by choking (treat as stunned) for 5d4 rounds.",,,"Cursed","PFRPG Core",,,,,,,,,"dust of appearance, dust of tracelessness",,0,0,0,1,0,0,0,0,0,"moderate",0,0,0,,,"Dust of Sneezing and Choking",285
"dusty rose prism ioun stone","strong varied",12,"none","5,000 gp",0,"These crystalline stones always float in the air and must be within 3 feet of their owner to be of any use. When a character first acquires a stone, she must hold it and then release it, whereupon it takes up a circling orbit 1d3 feet from her head. Thereafter, a stone must be grasped or netted to separate it from its owner. The owner may voluntarily seize and stow a stone (to keep it safe while she is sleeping, for example), but she loses the benefits of the stone during that time. Ioun stones have AC 24, 10 hit points, and hardness 5. +1 insight bonus to AC.","Craft Wondrous Item, creator must be 12th level","2,500 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,0,"strong",0,5000,2500,,,"Ioun Stone; dusty rose prism",425
"Dwarven Plate","no aura (nonmagical)",0,"armor","16,500 gp","50 lbs.","This full plate is made of adamantine, giving its wearer damage reduction of 3/-.",,,"Armor","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,0,"none",50,16500,0,,,"Dwarven Plate",306
"Elven Chain","no aura (nonmagical)",0,"armor","5,150 gp","20 lbs.","This extremely light chainmail is made of very fine mithral links. This armor is treated, in all ways, like light armor, including when determining proficiency. The armor has an arcane spell failure chance of 20%, a maximum Dexterity bonus of +4, and an armor check penalty of -2.",,,"Armor","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,0,"none",20,5150,0,,,"Elven Chain",308
"Feather Token, Anchor","strong conjuration",12,"none","50 gp",0,"Each of these items is a small feather that has a power to suit a special need. The kinds of tokens are described below. Each token is usable once. A particular feather token has no specific features to identify it unless its magic aura is viewed-even tokens with identical powers can be wildly different in appearance. Anchor: A token that creates an anchor that moors a craft in water so as to render it immobile for up to 1 day.","Craft Wondrous Item, major creation","25 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,1,0,0,0,0,0,"strong",0,50,25,,,"Feather Token; Anchor",345
"Feather Token, Bird","strong conjuration",12,"none","300 gp",0,"Each of these items is a small feather that has a power to suit a special need. The kinds of tokens are described below. Each token is usable once. A particular feather token has no specific features to identify it unless its magic aura is viewed-even tokens with identical powers can be wildly different in appearance. Bird: A token that creates a small bird that can be used to deliver a small written message unerringly to a designated target. The token lasts as long as it takes to carry the message.","Craft Wondrous Item, major creation","150 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,1,0,0,0,0,0,"strong",0,300,150,,,"Feather Token; Bird",346
"Feather Token, Fan","strong conjuration",12,"none","200 gp",0,"Each of these items is a small feather that has a power to suit a special need. The kinds of tokens are described below. Each token is usable once. A particular feather token has no specific features to identify it unless its magic aura is viewed-even tokens with identical powers can be wildly different in appearance. Fan: A token that forms a huge flapping fan, causing a breeze of sufficient strength to propel one ship (about 25 mph). This wind is not cumulative with existing wind speed. The token can, however, be used to lessen existing winds, creating an area of relative calm or lighter winds (but wave size in a storm is not affected). The fan can be used for up to 8 hours. It does not function on land.","Craft Wondrous Item, major creation","100 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,1,0,0,0,0,0,"strong",0,200,100,,,"Feather Token; Fan",347
"Feather Token, Swan Boat","strong conjuration",12,"none","450 gp",0,"Each of these items is a small feather that has a power to suit a special need. The kinds of tokens are described below. Each token is usable once. A particular feather token has no specific features to identify it unless its magic aura is viewed-even tokens with identical powers can be wildly different in appearance. Swan Boat: A token that forms a swan-like boat capable of moving on water at a speed of 60 feet. It can carry eight horses and gear, 32 Medium characters, or any equivalent combination. The boat lasts for 1 day.","Craft Wondrous Item, major creation","225 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,1,0,0,0,0,0,"strong",0,450,225,,,"Feather Token; Swan Boat",348
"Feather Token, Tree","strong conjuration",12,"none","400 gp",0,"Each of these items is a small feather that has a power to suit a special need. The kinds of tokens are described below. Each token is usable once. A particular feather token has no specific features to identify it unless its magic aura is viewed-even tokens with identical powers can be wildly different in appearance. Tree: A token that causes a great oak to spring into being (5-footdiameter trunk, 60-foot height, 40-foot top diameter). This is an instantaneous effect.","Craft Wondrous Item, major creation","200 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,1,0,0,0,0,0,"strong",0,400,200,,,"Feather Token; Tree",349
"Feather Token, Whip","strong conjuration",12,"none","500 gp",0,"Each of these items is a small feather that has a power to suit a special need. The kinds of tokens are described below. Each token is usable once. A particular feather token has no specific features to identify it unless its magic aura is viewed-even tokens with identical powers can be wildly different in appearance. Whip: A token that forms into a huge leather whip and wields itself against any opponent desired just like a dancing weapon. The weapon has a +10 base attack bonus, does 1d6+1 points of nonlethal damage, has a +1 enhancement bonus on attack and damage rolls, and a makes a free grapple attack (with a +15 bonus on its combat maneuver checks) if it hits. The whip lasts no longer than 1 hour.","Craft Wondrous Item, major creation","250 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,1,0,0,0,0,0,"strong",0,500,250,,,"Feather Token; Whip",350
"Figurine of Wondrous Power (bronze griffon)","Moderate transmutation",11,"none","10,000 gp","1 lb.","Each of the several kinds of figurines of wondrous power appears to be a miniature statuette of a creature an inch or so high (with one exception). When the figurine is tossed down and the correct command word spoken, it becomes a living creature of normal size (except when noted otherwise below). The creature obeys and serves its owner. Unless stated otherwise, the creature understands Common but does not speak. If a figurine of wondrous power is broken or destroyed in its statuette form, it is forever ruined. All magic is lost, its power departed. If slain in animal form, the figurine simply reverts to a statuette that can be used again at a later time. Bronze Griffon: When animated, a bronze griffon acts in all ways like a normal griffon under the command of its possessor (see the Pathfinder RPG Bestiary). The item can be used twice per week for up to 6 hours per use. When 6 hours have passed or when the command word is spoken, the bronze griffon once again becomes a tiny statuette.","Craft Wondrous Item, animate objects","5,000 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"none",1,10000,5000,,,"Figurine of Wondrous Power (bronze griffon)",541
"Figurine of Wondrous Power (ebony fly)","Moderate transmutation",11,"none","10,000 gp","1 lb.","Each of the several kinds of figurines of wondrous power appears to be a miniature statuette of a creature an inch or so high (with one exception). When the figurine is tossed down and the correct command word spoken, it becomes a living creature of normal size (except when noted otherwise below). The creature obeys and serves its owner. Unless stated otherwise, the creature understands Common but does not speak. If a figurine of wondrous power is broken or destroyed in its statuette form, it is forever ruined. All magic is lost, its power departed. If slain in animal form, the figurine simply reverts to a statuette that can be used again at a later time. Ebony Fly: When animated, an ebony fly is the size of a pony and has all the statistics of a pegasus but can make no attacks. The item can be used three times per week for up to 12 hours per use. When 12 hours have passed or when the command word is spoken, the ebony fly again becomes a tiny statuette.","Craft Wondrous Item, animate objects","5,000 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"none",1,10000,5000,,,"Figurine of Wondrous Power (ebony fly)",542
"Figurine of Wondrous Power (golden lions)","Moderate transmutation",11,"none","16,500 gp","1 lb.","Each of the several kinds of figurines of wondrous power appears to be a miniature statuette of a creature an inch or so high (with one exception). When the figurine is tossed down and the correct command word spoken, it becomes a living creature of normal size (except when noted otherwise below). The creature obeys and serves its owner. Unless stated otherwise, the creature understands Common but does not speak. If a figurine of wondrous power is broken or destroyed in its statuette form, it is forever ruined. All magic is lost, its power departed. If slain in animal form, the figurine simply reverts to a statuette that can be used again at a later time. Golden Lions: These figurines come in pairs. They become normal adult male lions. If slain in combat, the lions cannot be brought back from statuette form for 1 full week. Otherwise, they can be used once per day for up to 1 hour. They enlarge and shrink upon speaking the command word.","Craft Wondrous Item, animate objects","8,250 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"none",1,16500,8250,,,"Figurine of Wondrous Power (golden lions)",543
