"Name","Aura","CL","Slot","Price","Weight","Description","Requirements","Cost","Group","Source","AL","Int","Wis","Cha","Ego","Communication","Senses","Powers","MagicItems","Destruction","MinorArtifactFlag","MajorArtifactFlag","Abjuration","Conjuration","Divination","Enchantment","Evocation","Necromancy","Transmutation","AuraStrength","WeightValue","PriceValue","CostValue","Languages","BaseItem","LinkText","id"
"Elixir Of Darksight","moderate transmutation",6,"none","1,200 gp",0,"This dark, syrupy draught doubles the range of the drinker's darkvision and also enables her to see through deeper darkness when using darkvision. The effects last for 1 hour.","Craft Wondrous Item, darkvision, deeper darkness","600 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"moderate",0,1200,600,,,"NULL",1096
"Elixir Of Forceful Exhalation","faint evocation",3,"none","900 gp","1 lb.","This fizzy, sky-blue liquid leaves its drinker feeling buoyant, yet bloated. The drinker gains a +4 competence bonus on Acrobatics checks made to make high or long jumps and on Swim checks for up to 1 hour after consuming the elixir. As a standard action, the drinker can exhale a 15-foot-long gust of wind. The drinker can exhale up to three gusts, after which the elixir's effect is discharged and the skill bonuses end. Unused gusts dissipate after 1 hour.","Craft Wondrous Item, gust of wind","450 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"faint",1,900,450,,,"NULL",1159
"Escape Dust","faint conjuration",3,"none","300 gp",0,"When a handful of this coarse, crystalline powder is thrown at a single creature, it circles around that creature and disrupts its ability to attack and see. Using this dust requires a ranged touch attack by its user (with a range increment of 5 feet), but doing so does not provoke attacks of opportunity. On a hit, the target is dazzled and cannot make attacks of opportunity or immediate actions for 1 round.","Craft Wondrous Item, glitterdust","150 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,1,0,0,0,0,0,"faint",0,300,150,,,"NULL",1113
"Figurine Of Wondrous Power (black jade raven)","moderate conjuration and transmutation",11,"none","9,100 gp","1 lb.","This fist-sized piece of black jade is exquisitely tooled into the shape of a raven with outstretched wings. Upon command, it transforms into a black raven (use the stats for an eagle) or a giant black raven (use the stats for a giant eagle). Both forms of the raven have Improved Steal (Advanced Player's Guide) as a bonus feat. The raven understands Common but cannot speak. It can answer questions related to its abilities or what it has seen by cawing once for ""yes"" and twice for ""no."" The raven can maintain its non-figurine status for only 24 hours per week. This duration need not be continuous, but it must be used in 1-hour increments. After three transformations into its giant raven form (though not its smaller version), the statuette loses all magical properties.","Craft Wondrous Item, animate objects","4,550 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,1,0,0,0,0,1,"moderate",1,9100,4550,,,"NULL",1161
"Gloves Of Elvenkind","moderate transmutation",8,"hands","7,500 gp",0,"These plain gray leather gloves grant a +5 competence bonus on Spellcraft checks and concentration checks made to cast a spell defensively. Both gloves must be worn for the magic to be effective.","Combat Casting, Craft Wondrous Item, creator must be an elf","3,500 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"moderate",0,7500,3500,,,"NULL",1100
"Hobgoblin Battle Standard, Despair","moderate enchantment",10,"none","50,000 gp","3 lbs.","A battle standard is a cloth flag or standard, typically 2 feet wide and 4 feet long, meant to be carried and displayed on a lance, polearm, frame, or staff. It has no effect when not mounted properly or when lying on the ground. Hobgoblin battle standards normally depict the device or insignia of a tribe or nation, and different types of standards grant different effects. A battle standard may be carried (on foot or mounted) or planted. In the latter case, the standard does not need a bearer, but if it is toppled or touched by an enemy, it loses its effectiveness until reclaimed and replanted by allies of its owner. Despair: Enemies of the bearer of a hobgoblin battle standard of despair are sickened while within 60 feet of the banner. Any enemy that sustains a critical hit while sickened because of the standard must succeed at a Will saving throw (DC 15) or become dazed for 1 round. Ferocity: Allies of the bearer of a hobgoblin battle standard of ferocity gain a +2 morale bonus on attack rolls, weapon damage rolls, and saving throws against mind-affecting effects as long as they are within 60 feet of the banner. Iron Resolve: Allies of the bearer of a hobgoblin battle standard of iron resolve gain 10 temporary hit points and the benefits of the Diehard feat for as long as they are within 30 feet of the banner. The temporary hit points can only be gained once per day per creature.","Craft Wondrous Item, crushing despair","25,000 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,1,0,0,0,"moderate",3,50000,25000,,,"NULL",1137
"Hobgoblin Battle Standard, Ferocity","moderate enchantment",10,"none","60,000 gp","3 lbs.","A battle standard is a cloth flag or standard, typically 2 feet wide and 4 feet long, meant to be carried and displayed on a lance, polearm, frame, or staff. It has no effect when not mounted properly or when lying on the ground. Hobgoblin battle standards normally depict the device or insignia of a tribe or nation, and different types of standards grant different effects. A battle standard may be carried (on foot or mounted) or planted. In the latter case, the standard does not need a bearer, but if it is toppled or touched by an enemy, it loses its effectiveness until reclaimed and replanted by allies of its owner. Despair: Enemies of the bearer of a hobgoblin battle standard of despair are sickened while within 60 feet of the banner. Any enemy that sustains a critical hit while sickened because of the standard must succeed at a Will saving throw (DC 15) or become dazed for 1 round. Ferocity: Allies of the bearer of a hobgoblin battle standard of ferocity gain a +2 morale bonus on attack rolls, weapon damage rolls, and saving throws against mind-affecting effects as long as they are within 60 feet of the banner. Iron Resolve: Allies of the bearer of a hobgoblin battle standard of iron resolve gain 10 temporary hit points and the benefits of the Diehard feat for as long as they are within 30 feet of the banner. The temporary hit points can only be gained once per day per creature.","Craft Wondrous Item, rage","30,000 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,1,0,0,0,"moderate",3,60000,30000,,,"NULL",1138
"Hobgoblin Battle Standard, Iron Resolve","moderate enchantment",10,"none","45,000 gp","3 lbs.","A battle standard is a cloth flag or standard, typically 2 feet wide and 4 feet long, meant to be carried and displayed on a lance, polearm, frame, or staff. It has no effect when not mounted properly or when lying on the ground. Hobgoblin battle standards normally depict the device or insignia of a tribe or nation, and different types of standards grant different effects. A battle standard may be carried (on foot or mounted) or planted. In the latter case, the standard does not need a bearer, but if it is toppled or touched by an enemy, it loses its effectiveness until reclaimed and replanted by allies of its owner. Despair: Enemies of the bearer of a hobgoblin battle standard of despair are sickened while within 60 feet of the banner. Any enemy that sustains a critical hit while sickened because of the standard must succeed at a Will saving throw (DC 15) or become dazed for 1 round. Ferocity: Allies of the bearer of a hobgoblin battle standard of ferocity gain a +2 morale bonus on attack rolls, weapon damage rolls, and saving throws against mind-affecting effects as long as they are within 60 feet of the banner. Iron Resolve: Allies of the bearer of a hobgoblin battle standard of iron resolve gain 10 temporary hit points and the benefits of the Diehard feat for as long as they are within 30 feet of the banner. The temporary hit points can only be gained once per day per creature.","Craft Wondrous Item, aid and bear's endurance","22,500 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,1,0,0,0,"moderate",3,45000,22500,,,"NULL",1139
"Incense Of Many Fates","moderate divination",11,"none","3,300 gp","1 lb.","When used during meditation, this incense allows a samsaran's consciousness to pass through past or future lives to learn more about an important person, place, or thing. This functions like legend lore, but only works if the subject is at hand. The transcendental state lasts 1 hour, during which she can take no other actions. If she is disrupted during the meditation, the incense's effect is lost. Creatures other than samsarans can use this incense, but the connections to other lives are weaker and require a deeper meditation that takes 24 hours. Each block of incense lasts for 1 use.","Craft Wondrous Item, legend lore","1,650 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,1,0,0,0,0,"moderate",1,3300,1650,,,"NULL",1175
"Kitsune Star Gem, 1st Level Spell","faint transmutation",1,"none","750 gp",0,"This magical jewel glows like faerie fire, shedding light as a candle. It acts as pearl of power, except it only allows a kitsune to recover a spent use of a spell-like ability of the appropriate spell level.","Craft Wondrous Item, creator must be a kitsune","365 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"faint",0,750,365,,,"NULL",1170
"Kitsune Star Gem, 2nd Level Spell","faint transmutation",3,"none","3,000 gp",0,"This magical jewel glows like faerie fire, shedding light as a candle. It acts as pearl of power, except it only allows a kitsune to recover a spent use of a spell-like ability of the appropriate spell level.","Craft Wondrous Item, creator must be a kitsune","1,500 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"faint",0,3000,1500,,,"NULL",1171
"Kitsune Star Gem, 3rd Level Spell","faint transmutation",5,"none","6,750 gp",0,"This magical jewel glows like faerie fire, shedding light as a candle. It acts as pearl of power, except it only allows a kitsune to recover a spent use of a spell-like ability of the appropriate spell level.","Craft Wondrous Item, creator must be a kitsune","3,375 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"faint",0,6750,3375,,,"NULL",1172
"Lambent Window","moderate divination",7,"none","20,000 gp","2 lbs.","This small pane of glass in a frame made of black metal looks like a small hand mirror at first glance, but when a creature spends at least 1 minute staring into its reflection, the image shifts and changes, showing the landscape of another plane. If the lambent window is activated on the Material Plane, it shows the corresponding location on the Shadow Plane, along with any creatures at that location. Likewise, when used on the Shadow Plane, it shows the corresponding location on the Material Plane. This item only allows those staring into it to see the corresponding location on the other plane; they cannot hear through or gain other sensual information about the other side by way of the window. This effect can be used for up to 10 minutes per day. Those minutes need not be consecutive, and the 1 minute it takes to activate the lambent window does not count against this limit. A person holding an active lambent window can use it as a special focus when casting plane shift or using plane shift as a spell-like ability to reach the specific location shown in the mirror, rather than 5-500 miles from the bearer's intended destination.","Craft Wondrous Item, plane shift, scrying","10,000 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,1,0,0,0,0,"moderate",2,20000,10000,,,"NULL",1134
"Lantern Of Dancing Shadows","moderate transmutation",6,"none","41,000 gp","2 lbs.","This small lantern is made of thin, nearly transparent paper and black iron. The lantern burns for 6 hours on 1 pint of oil. The lantern's light causes the illumination level in a 30- foot radius to move one step toward dim light, from bright light to normal light, from normal light to dim light, or from darkness to dim light. The lantern has no effect in an area that is already in dim light. Nonmagical sources of light, such as torches and lanterns, do not increase the light level in the lantern's area. Magical light or darkness only change the light level in the lantern's area if they have a higher caster level than the lantern. Once per day, the lit lantern of dancing shadows can be commanded to create quasi-real illusions from the shadows cast by its light, as the shadow conjuration spell. In addition, once per day, the lantern can be commanded to solidify shadows for a short period of time. These solidified shadows cause incorporeal creatures within the lantern's illumination radius (30 feet) to coalesce into semi-physical forms, as the mass ghostbane dirge spell (Advanced Player's Guide 225).","Craft Wondrous Item, darkness, mass ghostbane dirge, shadow conjuration","20,500 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"moderate",2,41000,20500,,,"NULL",1135
"Lenses Of Darkness","faint transmutation",3,"eyes","12,000 gp",0,"Crafted from a dark-colored crystalline material and infused with magical darkness, these lenses fit over the wearer's eyes. When worn by a creature with light sensitivity or light blindness, these lenses protect the wearer against the effect of sunlight, the daylight spell, or similar light effects. Both lenses must be worn for the magic to be effective.","Craft Wondrous Item, darkness","6,000 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"faint",0,12000,6000,,,"NULL",1128
"Living Garments","faint transmutation",3,"body","5,000 gp","2 lbs.","These sheer and silky robes, many of which are made of spider silk, are of the finest quality. On command, a living garment can make a number of subtle adjustments to itself, including coloring, fit, and basic design, accommodating and accentuating whatever mood the wearer wishes to convey. It always remains clean, and automatically repairs damage to itself at a rate of 1 hit point per round (hardness 0, 4 hit points). It also grants the wearer a +5 competence bonus on Diplomacy checks.","Craft Wondrous Item, eagle's splendor, mending, prestidigitation, creator must be a drow","2,500 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"faint",2,5000,2500,,,"NULL",1131
"Nagaji Scale Polish","moderate evocation",7,"none","1,400 gp","1/2 lb.","This small clay urn contains a scintillating paste which works like imbue with spell ability, except the spell effect is not limited to cleric spells. Any caster may casts spells into the jar. The creature that applies the paste to its scales (a standard action) gains the ability to cast the imbued spells (assuming it has enough Hit Dice and the requisite ability scores). Only a reptilian creature (such as a dragon or a humanoid with the reptilian subtype) can use the polish to cast spells.","Craft Wondrous Item, imbue with spell ability or mnemonic enhancer","700 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"moderate",0.5,1400,700,,,"NULL",1174
"Phantasmal Gem","faint illusion",3,"none","4,000 gp","1 lb.","This small cut crystal appears to be filled with hazy, indistinct images that constantly shift and vary. If a spellcaster holding the phantasmal gem casts an illusion spell with a duration of concentration (or concentration + a number of rounds), the illusion lasts up to an additional 10 rounds after the spellcaster ceases concentrating on it. The spellcaster may end the illusion early as a swift action. The phantasmal gem can be used multiple times in a day, but cannot grant more than a total of 10 additional rounds of illusion spells per day. A gnome using a phantasmal gem can recharge it by expending uses of spell-like abilities gained through the gnome magic racial trait. Each spell-like ability expended as a standard action recharges 1 round of duration to the phantasmal gem (up to a maximum of 10 rounds).","Craft Wondrous Item, creator must be a gnome or a wizard specialized in the school of illusion","2,000 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,0,0,"faint",1,4000,2000,,,"NULL",1103
"Pipes Of The Warren Guardian","faint conjuration",5,"none","6,000 gp",0,"These finely crafted yellow-ivory pipes are bound in bronze and decorated with bits of amber. If the possessor learns the proper tune, once per day he can use these pipes to summon 1d4+1 dire rats as if using summon monster III. The summoned dire rats also have the swarming racial trait, and count as ratfolk for the purposes of the ratfolk's swarming racial trait.","Craft Wondrous Item, summon monster III","3,000 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,1,0,0,0,0,0,"faint",0,6000,3000,,,"NULL",1156
"Purifying Pearl","moderate conjuration and transmutation",10,"none","19,000 gp",0,"A favored tool of diplomats and those tasked with protecting the lives of regents and other important people, this small luminescent white pearl purifies putridity and poison in two ways. First, up to 10 cubic feet of food or drink that it touches per day is affected as if a purify food and drink spell had been cast upon the food or drink. Second, once per day, if placed in the mouth of a creature (as a standard action that provokes attacks of opportunity), the pearl acts as a neutralize poison spell cast on that creature (caster level 10th).","Craft Wondrous Item, neutralize poison, purify food and water","8,000 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,1,0,0,0,0,1,"moderate",0,19000,8000,,,"NULL",1107
"Quickfingers Gloves","faint transmutation",5,"hands","2,500 gp",0,"These dark-colored, skin-tight gloves are typically made of either supple calfskin or silk. A wearer of these gloves with at least 1 rank in Sleight of Hand can perform such a check as a move action by taking a -10 penalty on the check rather than the normal -20. Both gloves must be worn for the magic to be effective.","Craft Wondrous Item, cat's grace, haste","1,250 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"faint",0,2500,1250,,,"NULL",1114
"Red Feather Fan","moderate evocation",6,"none","5,000 gp","1 lb.","This fan is made of copper fashioned into a dozen small feathers mounted on a ring-shaped bone handle. Once per day, the bearer can hold it and speak a command word to counterspell a darkness effect (as if using daylight) or counterspell a light effect (as if using deeper darkness). If activated in an area of overlapping light and darkness effects, the fan randomly counterspells one of them, leaving the other intact.","Craft Wondrous Item, daylight, deeper darkness","2,500 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"moderate",1,5000,2500,,,"NULL",1162
"Rending Claw Blade","moderate transmutation",11,"none","10,305 gp","1 lb.","This set of +1 keen claw blades is most effective when the wearer has multiple claw attacks per round. When making a full attack with claws, if the wielder hits the same target with this weapon and a different claw attack or set of claw blades, he deals an extra 1d4 damage plus 1-1/2 times his Strength bonus. The wearer can deal this extra damage no more than once per round. This counts as a rend attack and does not stack with other abilities that grant rend attacks.","Craft Magic Arms and Armor, bull's strength, keen edge","5,305 gp","Weapon","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"moderate",1,10305,5305,,"+1 keen claw blades","NULL",1126
"Rubble Gloves","faint transmutation",5,"hands","8,000 gp","1 lb.","These gloves are made of a fine metal mesh. If a creature wearing rubble gloves touches a 5-foot square of stone or earth floor, rubble roils to the surface, making the square difficult terrain. Using the gloves is a standard action that does not provoke attacks of opportunity. The wearer can use the gloves to create up to 20 squares of difficult terrain per day.","Craft Wondrous Item, expeditious excavation","4,000 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"faint",1,8000,4000,,,"NULL",1148
"Shark Tooth Amulet","faint abjuration",5,"neck","9,000 gp",0,"This amulet is crafted of a single massive petrified shark tooth suspended on kelp twine and grants its wearer combat potency while underwater. While wearing this amulet, its wearer can use melee weapons normally, taking no penalty to attack and dealing full damage with such attacks. This amulet also allows the wearer to make thrown range weapon attacks underwater, though such attacks take a -2 penalty on attack rolls and their range increment is halved.","Craft Wondrous Item, touch of the sea (Advanced Player's Guide), the crafter must be an undine or have the water subtype","4,500 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,1,0,0,0,0,0,0,"faint",0,9000,4500,,,"NULL",1166
"Solidsmoke Pipeweed","moderate conjuration",7,"none","1,000 gp",0,"When smoked in any pipe, this pinch of magical tobacco produces a languid, milky-white smoke that the smoker can transform into useful objects. A halfling who puffs on the pipe as a full-round action can shape the smoke into an object weighing no more than 5 pounds and having a maximum volume of 1 cubic foot. The halfling can, on following rounds, spend additional full-round actions to increase the object's weight by 2 additional pounds and its volume by another cubic foot. The halfling must succeed at an appropriate Craft check to make a complex item. If the halfling stops puffing on her pipe for any reason before she finishes creating the object, the figure in the smoke collapses and her pipe is extinguished. Objects created by solidsmoke pipeweed last for 24 hours before fading away into vapor. Objects created by the pipeweed have the same hardness, hit points, and other qualities as manufactured objects of their type, but look smoky and indistinct. Each pinch of solidsmoke pipeweed is sufficient for 3 full rounds of smoking. A single larger item must be created with a single pinch of solidsmoke pipeweed, so any item created with this pipeweed can't be larger than 9 pounds and 3 cubic feet. A halfling cannot create an object designed to exactly duplicate or replace another specific object. For instance, while she could create a smoky lock with its own key, she could not puff smoke into an existing keyhole and then create a key that would open that particular lock. This smoke is caustic and chokes non-halflings. It grants non-halflings no benefits, and each time they spend a standard action to smoke the pipeweed, they are sickened for 1 round.","Craft Wondrous Item, minor creation, creator must be a halfling","500 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,1,0,0,0,0,0,"moderate",0,1000,500,,,"NULL",1115
"Symbol Of Luck","faint evocation",3,"none","6,000 gp","1 lb.","This translucent sphere of iron-hard glass changes shape to match its bearer's holy symbol within an hour of coming into her possession. After that transformation is complete, when this symbol is used by a halfling with the luck or adaptable luck racial trait to channel energy in order to heal, it also grants those healed a +1 luck bonus on saving throws for a number of rounds equal to the number of dice healed by the channel energy.","Craft Wondrous Item, divine favor, the creator must be a halfling","3,000 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"faint",1,6000,3000,,,"NULL",1116
"Symbol Of Unholy Command","faint necromancy",3,"none","8,000 gp","1 lb.","This unholy symbol is carved entirely from human bone. When the wielder uses this unholy symbol as a focus for the Command Undead feat, he gains a +1 profane bonus to the DC of that feat. Good creatures of 5 Hit Dice or less that attempt to touch the symbol must make a DC 15 Will save or be shaken for 1 round. Deliberate use of a symbol of unholy command is an evil act.","Craft Wondrous Item, Command Undead or command undead","4,000 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,1,0,"faint",1,8000,4000,,,"NULL",1129
"Tengu Drinking Jug","faint transmutation",3,"none","1,000 gp","2 lbs.","This looks like a one-gallon stoneware jug with white glaze, black birds painted around the middle, and a cork stopper tied about the neck with a hemp cord. Any liquid placed within the jug becomes safe to drink, as though affected by purify food and drink (though the jug only affects liquids). Three times per day, the bearer can command the jug to alter the temperature of its contents so that it ranges anywhere from ice cold to boiling hot. Once per day, the bearer can command water placed into the jug to transform into plum liquor, sake, or tea. A tengu jug holds up to 1 gallon of any liquid.","Craft Wondrous Item, prestidigitation, purify food and drink","500 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"faint",2,1000,500,,,"NULL",1163
